Date,MSCI World Gross USD
"Dec 31, 1969",100
"Dec 31, 1970",98.017
"Dec 31, 1971",117.193
"Dec 29, 1972",144.79
"Dec 31, 1973",123.787
"Dec 31, 1974",93.484
"Dec 31, 1975",125.732
"Dec 31, 1976",144.228
"Dec 30, 1977",147.115
"Dec 29, 1978",173.914
"Dec 31, 1979",195.949
"Dec 31, 1980",250.269
"Dec 31, 1981",241.998
"Dec 31, 1982",269.277
"Dec 30, 1983",331.964
"Dec 31, 1984",351.132
"Dec 31, 1985",497.798
"Dec 31, 1986",710.853
"Dec 31, 1987",830.015
"Dec 30, 1988",1028.809
"Dec 29, 1989",1205.7
"Dec 31, 1990",1006.546
"Dec 31, 1991",1197.46
"Dec 31, 1992",1141.66
"Dec 31, 1993",1405.713
"Dec 30, 1994",1484.177
"Dec 29, 1995",1800.553
"Dec 31, 1996",2052.559
"Dec 31, 1997",2385.63
"Dec 31, 1998",2977.153
"Dec 31, 1999",3731.559
"Dec 29, 2000",3249.513
"Dec 31, 2001",2712.658
"Dec 31, 2002",2182.57
"Dec 31, 2003",2919.442
"Dec 31, 2004",3364.558
"Dec 30, 2005",3701.795
"Dec 29, 2006",4466.298
"Dec 31, 2007",4893.543
"Dec 31, 2008",2919.783
"Dec 31, 2009",3818.859
"Dec 31, 2010",4290.045
"Dec 30, 2011",4074.834
"Dec 31, 2012",4748.699
"Dec 31, 2013",6048.181
"Dec 31, 2014",6381.054
"Dec 31, 2015",6360.575
"Dec 30, 2016",6879.162
"Dec 29, 2017",8466.345
"Dec 31, 2018",7771.71
"Dec 31, 2019",9979.034
"Dec 31, 2020",11625.199
"Dec 31, 2021",14223.137
"Dec 30, 2022",11700.992
